Rxn,Flux,LB,UB
ACE_ACA.m,0.00000004999,4.998999928718E-08,4.999000071282E-08
ACETATE-IN,0.0000001,0.0000001,0.0000001
ACE_ACA.p,0.00000005001,5.000999928718E-08,5.001000071282E-08
CO2.IN,2.6068,2.2898,2.9238
PGK,5.0794,4.3034,5.8554
42TK,0.9289,0.7821,1.0757
PRK,2.783,2.3426,3.2234
RUBISCO_CO2,2.5194,2.1325,2.9063
52TK,0.9289,0.7821,1.0757
SBPase,0.9289,0.7821,1.0757
34ALDO,0.9289,0.7821,1.0757
33ALDO.p,0.9289,0.782,1.0758
PGDH,0.0000050316,0,0.0072050316
GGT,0.2636,0.1372,0.39
GDC,0.1318,0.0686,0.195
RUBISCO_O2,0.2636,0.0796,0.4476
SGT,0.0000001,9.99999969735E-08,1.000000030265E-07
PGP,0.2636,0.0796,0.4476
ENO.c,0.4349,0.302,0.5678
PGI.p,0.000040598,0,0.006040598
PK.c,0.000012302,0,10.494512302
Ppdk.p,-0.000028335,0,10.492971665
GAPDH.c,0.4349,0.302,0.5678
MALSYN,0.000013214,0,0.171813214
ICITLY,-0.00000036059,0,0.03079963941
AKGDH,-0.00000021462,0,0.00001425338
ACONase,-0.00000072312,0,0.16849927688
FUMase,-0.0000005752,0,0.0307994248
ICITDH,-0.00000036254,0,0.17209963746
ME.p,0.000000015014,0,4.915700015014
MDH,0.000012385,0,0.040612385
CITSYN,-0.00000072312,0,0.16849927688
PEPC,0.4349,0.3644,0.5054
PDH.m,0.000012441,0,0.038412441
PDH.p,0.0000069839,0,7.2846069839
SUCDH,-0.0000005752,0,0.0307994248
ME.c,0.00000023818,0,4.91570023818
P5P_T,0.0037,0,0.0083
HP.t,0.000040598,0,0.006040598
PYR.t,0.0000001,0,12.4583001
TP.t,0.4349,0.302,0.5678
PEP.t,0.000028735,0,10.493028735
SERsyn.p,0.2229,0.1169,0.3289
GDH,-0.00000014792,0,0.17209985208
METsyn,0.4349,0.2222,0.6476
Shikimat1,0.0000001,9.99999989528E-08,1.000000010472E-07
THRsyn,0.0000062272,0,0.3216062272
ARGsyn,0.00000015155,0,3.62400015155
Shikimat2,0.0000001,9.99999989528E-08,1.000000010472E-07
PROsyn,-0.00000029948,0,3.60849970052
LYSsyn1,1.1746E-24,1.1746E-24,1.1746E-24
LYSsyn2,1.1746E-24,1.1746E-24,1.1746E-24
ALAAT,8.2225E-24,8.2225E-24,8.2225E-24
ASPAT,0.4349,0.2501,0.6197
VALsyn,0.0000076193,0,3.6707076193
HISsyn,4.6986E-24,4.6986E-24,4.6986E-24
GLYsyn.p,0.2229,0.1169,0.3289
PHEsyn,9.3971E-24,9.3971E-24,9.3971E-24
TYRsyn,0.0000002,1.999999979057E-07,2.000000020943E-07
ILEsyn,0.0000062272,0,0.3216062272
LEUsyn,-1.8794E-23,0,-1.8794E-23
ALAprot,0,0,0
ARGprot,0.00000015155,0,3.62400015155
ASXprot,0,0,0
GLXprot,0,0,0
GLYprot,0,0,0
HISprot,0,0,0
ILEprot,0.0000062272,0,0.3216062272
LEUprot,0,0,0
LYSprot,0,0,0
METprot,0.4349,0.2222,0.6476
PHEprot,0,0,0
PROprot,-0.00000029948,0,3.60849970052
SERprot,0,0,0
THRprot,0,0,0
TYRprot,0.0000002,1.999999979057E-07,2.000000020943E-07
VALprot,0.0000076193,0,3.6707076193
CYSprot,0.1318,0.0686,0.195
Starch_produce,0.00011386,0,0.00024627
G1PadT,0.00011386,0,0.00024627
PGM.p,0.00011386,0,0.00024627
Turnover_P,0.00011386,0,0.00024627
STARCH_OUT,0,0,0
ACP,0.000003517,0,3.642303517
FA2,0.000003517,0,3.642303517
G3P.TAGout,0.00000099287,9.928699970318E-07,9.928700029682E-07
G3P.c,0.00000099287,9.928699970318E-07,9.928700029682E-07
PYRIMIDINE,0.00000034684,3.4683999903657E-07,3.4684000096343E-07
PURINE,0.0037,0,0.0088
GLYDH,0.2193,0.1131,0.3255
PUnucOUT,0.0037,0,0.0088
PUnuc,0.0037,0,0.0088
THYMIDINE,0.00000017375,1.7374999904544E-07,1.7375000095456E-07
PYnucOUT,0.00000017309,1.7308999970323E-07,1.7309000029677E-07
PYnuc,0.00000034684,3.4683999903657E-07,3.4684000096343E-07
GLPUrT,0.000035566,0,0.001235566
PGM.c,0.000035566,0,0.001235566
WALL,0.000035566,0,0.001235566
G-3PGA.c,0.000012107,0.0000069063,0.0000173077
G-3PGA.p,-0.0000042113,0,-0.0000042113
G-ACA.m,0.00041048,0,11.29881048
G-ACA.p,0.0026,0,10.4982
G-G1P.c,0.0000001,0.0000001,0.0000001
G-G1P.p,0.0101,0,1.7365
G-G6P.c,0.000056518,0,11.020956518
G-G6P.p,0.2787,0,0.8689
G-GLY.c,0.0168,0,11.1009
G-GLY.p,0.0011,0,10.2387
G-PEP.c,0.022,0,3.2141
G-PEP.p,0.00000084139,0,10.72810084139
G-PYR.c,0.0136,0,10.2809
G-PYR.p,0.0031,0,10.2261
G-SER.c,0.0071,0,9.7552
G-SER.P,0.004,0,11.6972
G-TP.c,0.0048,0,0.0333
G-TP.p,0.0019,0,0.0138
G-F6P.c,0.00086597,0,0.00266597
G-F6P.p,0.001,0,0.0034
G-P5P.c,0.0197,0,3.9654
G-P5P.p,0.0000056471,0,11.0398056471
