Mets,PoolSize,LB,UB
2PG,25313,25312.8561,25313.1439
3PGA.c pool,0.00061114,0,0.06551114
3PGA.p pool,0.0000001,0.0000001,0.0000001
PGA,0.00000038482,3.84819999982286E-07,3.84820000017714E-07
ACA.m pool,1.1961,1.051,1.3412
ACA.p pool,1,0,inf
ACA.t pool,1,0,inf
ACE.c pool,6.3198,6.183,6.4566
ACE.in pool,1,0,inf
ACP pool,1,0,inf
ADPG,0.0000019413,0,0.0000110334
AKG,1.8593,1.728,1.9906
ALA pool,1,0,inf
ALAprot pool,1,0,inf
ARG pool,1,0,inf
ARGprot pool,1,0,inf
ASP,1.6099,1.4732,1.7466
ASXprot pool,3.3023,3.165,3.4396
C1 pool,1,0,inf
CIT pool,1.5593,1.413,1.7056
CO2 pool,0.5284,0.469,0.5878
CO2.in pool,1,0,inf
CYSprot pool,1,0,inf
E4P.p pool,0.0000001,0.0000001,0.0000001
F6P.c pool,1,0,inf
F6P.p pool,0.0000001,0.0000001,0.0000001
F6P,0.0897,0,0.1943
FUM pool,17.6533,17.5212,17.7854
G1P.c pool,0.002,0,0.005
G1P.p pool,0.000010082,0.000010082,0.000010082
G1P,0.0000001,0.0000001,0.0000001
G3P.TAG pool,1,0,inf
G3P.c pool,1,0,inf
G6P.c pool,0.0000001,0.0000001,0.0000001
G6P.p pool,0.0139,0.0097,0.0181
G6P,18.6255,18.5541,18.6969
GLU,8.9957,8.8659,9.1255
GLXprot pool,8.3867,8.2447,8.5287
GLY.c pool,3.4732,3.3405,3.6059
GLY.p pool,0.0000001,9.9999999987997E-08,1.00000000012003E-07
GLY.t pool,1,0,inf
GLYOX.m pool,0.7591,0.618,0.9002
GLYprot pool,6.6375,6.514,6.761
HIS pool,1,0,inf
HISprot pool,1,0,inf
ICI pool,1.435,1.2947,1.5753
ILE pool,1,0,inf
ILEprot pool,1,0,inf
LEU pool,1,0,inf
LEUprot pool,1,0,inf
LYS pool,1,0,inf
LYSprot pool,1,0,inf
Ly pool,1,0,inf
MAL,1138.9,1138.7566,1139.0434
MET pool,1,0,inf
METprot pool,1,0,inf
OAA pool,111.2095,111.0688,111.3502
P5P.c pool,3.4955,3.3512,3.6398
P5P.p pool,0.0000001,0.0000001,0.0000001
P5P,0.0036,0,0.1352
PEP.c pool,0.0000001,0.0000001,0.0000001
PEP.p pool,1.7884,1.645,1.9318
PEP.t pool,0.0000001,0.0000001,0.0000001
PHE pool,1,0,inf
PHEprot pool,1,0,inf
PRO pool,1,0,inf
PROprot pool,1,0,inf
PURINE pool,1,0,inf
PUnuc pool,1,0,inf
PUnucOUT pool,1,0,inf
PYR.c pool,4.0608,3.929,4.1926
PYR.p pool,3.1259,2.9887,3.2631
PYR.t pool,1,0,inf
PYRIMIDINE pool,1,0,inf
PYnuc pool,1,0,inf
PYnucOUT pool,1,0,inf
RUBP,0.0000001,0.0000001,0.0000001
S7P,0.0000001,0.0000001,0.0000001
SBP,0.003,0.0015,0.0045
SER.c pool,0.8986,0.7565,1.0407
SER.p pool,0.0000001,0.0000001,0.0000001
SER.t pool,1,0,inf
SERprot pool,1.9736,1.8356,2.1116
SUC,13.1612,13.0219,13.3005
Sh pool,1,inf,inf
Shikimat pool,1.6977,1.5556,1.8398
Starch pool,0.0000001,0.0000001,0.0000001
Starch.out pool,0.0000001,0.0000001,0.0000001
TAG pool,1,0,inf
THR pool,1,0,inf
THRprot pool,1,0,inf
TP.c pool,0.0000001,0.0000001,0.0000001
TP.p pool,0.0000001,0.0000001,0.0000001
TP,0.0000001,0.0000001,0.0000001
TYR pool,1,0,inf
TYRprot pool,1,0,inf
Thymidine pool,1,0,inf
UDPG,0.0744,0.0662,0.0826
VAL pool,0.4269,0.2894,0.5644
VALprot pool,1,0,inf
WALL pool,1,0,inf
